epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,27.2946,0.85857,1.15263,1.04498,0.35764,0.4,0.28493,0.14933,1.74602,2.20345,1.82937,0.0008516,0.0008516,0.0008516
60,27.7355,0.87572,1.18773,1.05839,0.34211,0.36,0.29597,0.1638,1.70177,2.14655,1.84055,0.0008318,0.0008318,0.0008318
61,28.1811,0.86405,1.22991,1.07208,0.34211,0.36,0.29597,0.1638,1.70177,2.14655,1.84055,0.000812,0.000812,0.000812
62,28.6069,0.92841,1.13635,1.08072,0.34211,0.36,0.29597,0.1638,1.70177,2.14655,1.84055,0.0007922,0.0007922,0.0007922
63,29.0721,0.83296,1.088,1.05487,0.24489,0.48,0.25567,0.13184,1.8069,2.23537,1.91498,0.0007724,0.0007724,0.0007724
64,29.5172,0.95702,1.24728,1.07188,0.24489,0.48,0.25567,0.13184,1.8069,2.23537,1.91498,0.0007526,0.0007526,0.0007526
65,29.9565,0.98864,1.26201,1.1568,0.33348,0.32,0.1966,0.10361,1.79296,2.3327,1.9835,0.0007328,0.0007328,0.0007328
66,30.4102,0.7933,1.14036,1.01977,0.33348,0.32,0.1966,0.10361,1.79296,2.3327,1.9835,0.000713,0.000713,0.000713
67,30.8498,0.77214,1.1077,1.03172,0.33348,0.32,0.1966,0.10361,1.79296,2.3327,1.9835,0.0006932,0.0006932,0.0006932
68,31.3089,0.90578,1.42205,1.14501,0.29894,0.3242,0.21635,0.11114,1.80276,2.31928,1.97163,0.0006734,0.0006734,0.0006734
69,31.7346,0.81338,1.10727,1.01078,0.29894,0.3242,0.21635,0.11114,1.80276,2.31928,1.97163,0.0006536,0.0006536,0.0006536
70,32.1743,0.7923,1.10668,1.01431,0.29894,0.3242,0.21635,0.11114,1.80276,2.31928,1.97163,0.0006338,0.0006338,0.0006338
71,32.6229,0.79286,1.16315,1.0451,0.34971,0.32,0.21416,0.10886,1.84352,2.41824,2.02821,0.000614,0.000614,0.000614
72,33.0555,0.8193,1.13204,1.01241,0.34971,0.32,0.21416,0.10886,1.84352,2.41824,2.02821,0.0005942,0.0005942,0.0005942
